#uniacc,domains,threshold
O75360;MA0715.1;PROP1
P54821;MA0716.1;PRRX1
Q96IS3;MA0717.1;RAX2
Q9Y2V3;MA0718.1;RAX
Q8NHV9;MA0719.1;RHOXF1
P70390;MA0720.1;Shox2
A6NJT0;MA0721.1;UNCX
Q5SQQ9;MA0722.1;VAX1
Q9UIW0;MA0723.1;VAX2
O95231;MA0724.1;VENTX
Q9NZR4;MA0725.1;VSX1
P58304;MA0726.1;VSX2
P08235;MA0727.1;NR3C2
P43136;MA0728.1;Nr2f6(var.2)
P10276;MA0729.1;RARA
P10276;MA0730.1;RARA(var.2)
A8KA13;MA0731.1;BCL6B
Q06889;MA0732.1;EGR3
Q05215;MA0733.1;EGR4
P10070;MA0734.1;GLI2
Q8NBF1;MA0735.1;GLIS1
Q9BZE0;MA0736.1;GLIS2
Q8NEA6;MA0737.1;GLIS3
Q96JB3;MA0738.1;HIC2
Q9R1Y5;MA0739.1;Hic1
Q8TD94;MA0740.1;KLF14
Q9BXK1;MA0741.1;KLF16
O35738;MA0742.1;Klf12
Q9BWW7;MA0743.1;SCRT1
Q9NQ03;MA0744.1;SCRT2
O43623;MA0745.1;SNAI2
Q02447;MA0746.1;SP3
Q8IXZ3;MA0747.1;SP8
O15391;MA0748.1;YY2
O96006;MA0749.1;ZBED1
O95365;MA0750.1;ZBTB7A
Q8N9L1;MA0751.1;ZIC4
Q86VK4;MA0752.1;ZNF410
Q8NDX6;MA0753.1;ZNF740
P39880;MA0754.1;CUX1
O14529;MA0755.1;CUX2
O95948;MA0756.1;ONECUT2
O60422;MA0757.1;ONECUT3
Q96AV8;MA0758.1;E2F7
P41970;MA0759.1;ELK3
P50548;MA0760.1;ERF
P50549;MA0761.1;ETV1
Q3KNT2;MA0762.1;ETV2
P41162;MA0763.1;ETV3
P43268;MA0764.1;ETV4
P41161;MA0765.1;ETV5
Q9BWX5;MA0766.1;GATA5
O75603;MA0767.1;GCM2
Q9UJU2;MA0768.1;LEF1
Q00417;MA0769.1;Tcf7
Q03933;MA0770.1;HSF2
Q9ULV5;MA0771.1;HSF4
Q92985;MA0772.1;IRF7
Q05BX2;MA0773.1;MEF2D
O14770;MA0774.1;MEIS2
Q99687;MA0775.1;MEIS3
P10243;MA0776.1;MYBL1
P10244;MA0777.1;MYBL2
